# Original memory stories. Format: kanji | picture cues | scene title | story
# These are imaginative study aids, not historical etymologies or reading explanations.
# Lesson 0
走|🟫 🏃|Run across the ground|A ground marker rises above a long striding foot. Stretch your stride and run.
登|👣 🪜|Climb to the bowl|Spreading feet approach a raised bowl-shaped platform. Climb up to reach it.
飛|🪽 🪽|Wings everywhere|Long hooks stretch out like wings around a central body. Imagine flapping hard enough to fly.
投|✋ 🎯|Hand throws forward|A hand stands beside a swinging arm-like shape. Swing it forward and throw.
曲|🎼 ↪️|Bent musical bars|Two upright lines bend through a boxed grid. Imagine a tune bending through the bars of music.
向|🪟 👉|Face the opening|A little window sits inside a larger opening with a slanted top. Turn to face that opening.
泊|💧 🏨|Stay by the water|Water stands beside a white sign. The sign marks an inn where travelers can stay overnight.
進|🐦 🛣️|Bird on the road|A bird marches along a path. Follow its steady steps and proceed forward.
眠|👁️ 🛌|Sleepy citizen|An eye sits beside a citizen-shaped form. Imagine the entire town closing its eyes to sleep.
弱|🏹 🏹|Two floppy bows|Two bow-like shapes droop above tiny marks. Neither can pull an arrow far: both are weak.
相|🌳 👁️|Look at one another|An eye faces a tree. Imagine the tree looking back: the attention is mutual.
調|🗣️ 🔎|Ask all around|Words stand beside an enclosing, around-like shape. Ask all around while you search and investigate.
度|🏠 📐|Measure under the roof|A hand works beneath a shelter and crossed marks. Measure each angle to the right degree.
有|✋ 🌙|Have the moon|A reaching arm stretches over a moon. Imagine catching the moon and saying, “I have it!”
無|🧺 🔥|Nothing after the fire|A packed rack sits above four flames. Imagine everything burning away until none remains.
# Lesson 19
北|🧍 🧍|Cold northern backs|Two people stand back to back, turning their faces away from the cold north wind.
南|🧭 🌴|Southern shelter|A cross-shaped sign tops an enclosed, roomy shape. Picture a warm shelter in the south.
東|☀️ 🌳|Sun through the tree|A sun-shaped box is threaded through a tree. Morning sunlight arrives from the east.
西|🌇 🧺|Sun in its basket|Imagine the setting sun dropping into a broad basket. Look west to watch it disappear.
京|🏙️ 🏛️|Capital's landmark|A tall roof covers a window with small supports below. Picture the landmark of a capital city.
踊|🦶 🥁|Dancing feet|A foot stands beside a tall rhythm-like shape. Imagine a drumbeat making the foot dance.
要|🧳 👩|Only what you need|A woman carries a packed case above her. She has brought only the things she needs.
修|🧍 🖌️|Polishing your studies|A person works beside three finishing strokes. Keep polishing your work until your studies are complete.
着|🐑 👁️|Wear the wool|A woolly top sits over an eye. Pull on a sweater until your eyes peek out.
初|👕 🔪|First cut|Clothing stands beside a blade. The first cut of fabric begins a new outfit.
客|🏠 👣|Guest under your roof|A traveling, step-like shape arrives beneath a roof. Welcome this traveler as your guest.
様|🌳 🎩|Respect at the tree|Imagine a fancy visitor beside a tree, dressed in elaborate layers. Address the visitor respectfully as -sama.
思|🌾 ❤️|Thoughts in the field|A field sits above a heart. Your heart keeps thinking about the field you planted.
言|🗣️|Words above a mouth|A mouth rests below several short lines. Imagine spoken words stacking up above it.
勝|🌙 💪|Victory on the moon|A moon-like side stands beside a strong, lifting shape. Imagine winning a weightlifting contest on the moon.
負|🏆 🐚|Prize carried away|A bent top hangs over a valuable shell. Imagine your opponent carrying away the prize after your defeat.
# Lesson 20
留|🧳 🌾|Away from the field|A packed, hooked shape rests above a field. Imagine leaving your luggage there while you are away.
不|🚫 🌱|No growth today|A long top line blocks a little branching shape. Tell the sprout, “No, not through here.”
便|🧍 📦|Convenient helper|A person stands beside a tidy, crossed bundle. Having someone carry it is very convenient.
自|👃 ☝️|Point to yourself|An eye-like box has a little stroke pointing toward it. Imagine pointing to your own nose: myself.
交|🚦 ✂️|Paths cross|Under a small cap, two legs cross. Picture people crossing paths at an intersection.
通|🛣️ 🚪|Pass through the gate|A tall passage-like shape sits on a winding road. Follow the road straight through it.
放|🚩 ✋|Release the flag|A flag stands beside a moving hand. Let go and release it into the wind.
夢|🌿 🌙|Dream beneath the leaves|Leaves and a net-like cover shelter an evening shape. Fall asleep beneath them and dream.
才|🪄 ✨|Genius's trick|A single upright stroke sprouts a crossbar and a clever flick. A genius makes much from little.
試|🗣️ 🧪|Try the formula|Words stand beside a formal, tool-like shape. Read the instructions, then test whether the formula works.
合|🏠 📦|Lid fits the box|A pointed lid rests perfectly above a small box. The two pieces fit together.
意|🔊 ❤️|Heart's intention|A sound sits above a heart. Listen closely: the heart is telling you its intent.
地|🟫 🐍|Claimed land|Soil stands beside a winding shape. Imagine marking the boundaries of your land with a curling rope.
球|💎 ⚽|Round jewel|A jewel stands beside a reaching, splashy shape. Imagine reaching for a perfectly round jewel-ball.
最|☀️ 👂|Take the most sunshine|A sun sits above a taking shape. Imagine grabbing the most sunshine before anyone else.
師|🧑‍🏫 🪧|Teacher's banner|A stacked figure stands beside a hanging banner. The master teacher points to lessons written on it.
# Lesson 21
察|🏠 🔎|Inspect the offering|An offering sits beneath a roof. Examine every detail to investigate what happened there.
産|🏠 🌱|New life arrives|A sloping shelter covers a growing life-shaped sprout. Imagine a safe place for giving birth.
死|🦴 🕯️|Candle goes out|A bone-like shape and a bent figure lie beneath one line. Imagine a life whose candle has gone out.
亡|🎩 💨|Only the hat remains|A small cap floats above an empty corner. The person has passed away; only their hat remains.
当|✨ 🎯|Hit the shelf|Little sparks land above a three-level shelf. Imagine a dart striking exactly the intended level.
都|👤 🏙️|Everyone goes downtown|A person-shaped block stands beside a city boundary. Imagine everyone gathering in the metropolis.
賃|🧍 🐚|Pay for your place|A working person stands above a shell-shaped payment. Their wages help pay the rent.
室|🏠 📍|Arrive in the room|A roof shelters a small, grounded shape. You have reached your own room at last.
布|✋ 🧣|Cloth on a hanger|A reaching arm sits over a hanging cloth shape. Spread the fabric out to dry.
靴|👞 🦋|Leather transformation|A leather-like panel stands beside a changing shape. Imagine leather transforming into a pair of shoes.
袋|🧍 👕|Clothes in a bag|A person-like top balances above clothing. Imagine putting a spare outfit into a bag.
回|🔲 🔄|Circle the inner box|A small square sits inside a large one. Walk around the inner square, turning at every corner.
堂|🏛️ 🟫|Hall on firm ground|A roofed, windowed shape sits on solid soil. Picture a spacious public hall.
育|🌱 👶|Raise the little one|A tiny sprouting top sits above a body-like shape. Feed and care for it as it grows.
受|🤲 🎁|Hands receive a gift|A hand reaches down above a cover while another waits below. Pass the gift into the receiving hand.
故|📜 ✋|Old explanation|An old-looking shape stands beside a guiding hand. Point to the old record to explain the reason.
# Lesson 22
点|📍 🔥|Four little points|A marker sits above four tiny flames. Touch your pen down once for each point.
信|🧍 🗣️|Believe their words|A person stands beside words. Picture someone whose words you can believe.
号|👄 🎟️|Call the number|A mouth rests above a curling ticket. Read the ticket and call its number aloud.
角|🐐 📐|Horn with a corner|A pointed top bends into a divided lower shape. Imagine a goat's horn turning a sharp corner.
駐|🐎 🕯️|Horse stays put|A horse stands beside a master's marker. Tie it there so it remains while you shop.
場|🟫 ☀️|Sunny patch of ground|Soil stands beside a sun with slanting rays. Choose that sunny place to meet.
建|🖌️ 🏗️|Build from a plan|A brush-like upright sits over a long foundation stroke. Draw the plan, then build it.
図|🖼️ ✏️|Plan inside a frame|A frame encloses several sketchy marks. Your first attempt at a diagram fits inside it.
坂|🟫 ↘️|Ground tilts downward|Soil stands beside a turning shape. Imagine the ground turning into a slope under your feet.
折|✋ 🪓|Fold or break|A hand grips an axe-shaped tool. Bend a branch until it folds or breaks.
直|📏 👁️|Straighten the picture|A boxed eye sits on a level base under a cross. Line everything up perfectly straight.
連|🚗 🛣️|Travel together|A cart rides along a road. Take your friends along so everyone travels together.
紹|🧵 📣|Thread introduces friends|A thread reaches a calling shape. Imagine using that thread to connect and introduce two people.
介|🧍 ↔️|Person in between|A person-shaped roof stands over two narrow legs. Picture someone stepping in between two groups.
案|🏠 🌳|Idea at the desk|A peaceful roofed shape sits on a tree-like desk. Sit there until a good idea arrives.
内|📦 🧍|Person inside|A person fits inside an open-sided box. Peek in to see who is inside.
# Lesson 23
説|🗣️ 💡|Explain your theory|Words stand beside an open, bright-looking figure. Explain your theory until everyone's face lights up.
準|💧 🎯|Set the standard|Water and a bird-like shape stand over a cross. Imagine leveling a target to the required standard.
備|🧍 🎒|Person gets ready|A person stands beside a packed, shelf-like shape. Prepare every compartment before leaving.
考|👴 💭|Elder thinks|An old-looking top bends over a hooked lower stroke. Imagine an elder leaning forward in thought.
忙|❤️ 💨|Heart can't keep up|A heart-like side stands beside a disappearing shape. You are so busy the hours vanish.
暇|☀️ 🛋️|Sunlit free time|A sun sits beside a leisurely, layered shape. Imagine stretching out in sunshine during your free time.
張|🏹 📏|Long bow stretch|A bow stands beside long. Pull until the bowstring stretches a long way.
歳|🦶 📆|Steps through the years|A stopping foot tops layered, slanting strokes. Count the years you have stepped through: your age.
色|🎨 🐍|Colorful curled ribbon|A hooked top drapes over a curled lower shape. Picture a ribbon covered in bright colors.
白|⬜ ☀️|Sun's white cap|A sun-shaped box gains one little stroke on top. Imagine a cap shining pure white.
黒|🌾 🔥|Field burned black|A field rests above a base and four flames. Picture the field turning black after burning.
青|🌱 🌙|Blue moonlight|A growing top rests on a moon-shaped base. Imagine the whole plant glowing blue in moonlight.
赤|🟫 🔥|Red-hot ground|Soil sits above flickering lower strokes. Heat the ground until it glows red.
緑|🧵 💧|Green dyed thread|Thread stands beside a splashing shape. Dip the thread into green dye and lift it out.
黄|🌾 🟨|Yellow harvest stack|A field-like box sits beneath crossing stalks. Imagine a stack of golden-yellow grain.
紫|🧍 🧵|Purple thread|Two small upper shapes stand above a thread. Imagine twisting them together into a royal purple cord.
# Lesson 24
越|🏃 🏔️|Run beyond the ridge|Running strokes stretch beside a hooked barrier. Leap over the barrier and surpass your old limit.
菓|🌿 🍎|Fruit snack|Leaves sit above fruit. Wrap the fruit in those leaves and carry it as a snack.
祝|🙏 👦|Brother's celebration|A sacred marker stands beside an older brother. Celebrate his good news with a blessing.
和|🌾 👄|Rice shared peacefully|Grain stands beside a mouth. Picture everyone sharing a peaceful Japanese meal.
職|👂 🏷️|Listen for your job|An ear stands beside a busy badge-like shape. Listen when your job title is called.
老|👴 🦯|Elder's bent knees|A layered top leans over a curled lower stroke. Imagine someone growing old and walking carefully.
専|📋 ☝️|One exclusive task|A neatly stacked form rests above a little hand-like base. Devote that hand to one exclusive task.
門|🚪 🚪|Two gateposts|Two tall matching posts face inward. Walk between them through the gate.
探|✋ 🌳|Search beneath the cover|A hand reaches beside a covered tree. Search among the branches for the missing object.
拾|✋ 📦|Pick up the box|A hand reaches toward a lid-and-box shape. Pick it up and fit the lid back on.
平|⚖️|Level balance|Two little weights sit between a broad top and crossbar. Balance them until everything is flat.
弁|🗣️ 👐|Hands help the dialect|A curled mark sits over two raised hands. Imagine expressive gestures helping explain a local dialect.
片|🪵 🪓|Half a split trunk|Picture one side of a tree trunk after it is split. You are holding just one part.
荷|🌿 🎁|Leaf-covered load|Leaves rest above a person with a mysterious parcel. The parcel has become a heavy load.
横|🌳 🟨|Tree laid sideways|A tree stands beside yellow. Picture a yellow-painted tree trunk lying on its side.
似|🧍 🪞|Person and reflection|A person stands beside a second, oddly similar shape. Its resemblance makes you think of a reflection.
# Lesson 25
以|📍 🚶|Start from this mark|A small angled mark faces a person-like stroke. Imagine a sign saying, “Start from here.”
星|☀️ 🌱|Light is born|A sun sits above life. Imagine a tiny new light being born in the sky: a star.
可|🪝 📦|It can fit|A little box fits beneath a hooked shelf. You thought it would not fit, but it is possible.
収|🧺 ✋|Gather into your basket|A hand reaches toward an open collecting shape. Gather the items you obtain inside it.
製|✂️ 👕|Made from cloth|A cutting arrangement rests above clothing. Picture a garment freshly made in a workshop.
台|🗿 📦|Raised platform|A small curled object sits on a box. The box serves as its platform.
階|🧱 🪜|Stairs beside the wall|A wall-like side rises beside matching stacked shapes. Climb them one floor at a time.
値|🧍 🏷️|Person checks the price|A person stands beside a straight display. Imagine a price tag hanging straight in front of them.
段|🪜 ✋|Step by step|A stack of ledges stands beside a working hand. Build the staircase one step at a time.
量|☀️ 🌾|Measure the harvest|A sun sits above a field-like stack. Measure the amount harvested before sunset.
景|☀️ 🏙️|Sun over the capital|The sun lights a capital-city shape. Stop to enjoy the scenery.
泉|⬜ 💧|Clear spring water|A white shape sits above water. Imagine clear water bubbling from a bright spring.
由|📦 🌱|Trace the source|A vertical line pokes out of a divided box. Follow it down to discover the reason it appeared.
申|📋 🗣️|Make your statement|A long line passes through a divided box. Imagine a formal statement written neatly down a form.
神|🙏 ⚡|Divine message|A sacred marker stands beside a pierced box. Imagine a god sending a message through it.
用|🧰|Toolbox ready for use|A tall open frame holds divided compartments. Take a tool from the box and put it to use.
# Lesson 26
議|🗣️ ⚖️|Weigh the words|Words stand beside a crowded, balanced-looking shape. Deliberate carefully before choosing the right words.
計|🗣️ 🔟|Count out the plan|Words stand beside ten. Say each of ten steps aloud as you measure and plan.
資|➡️ 🐚|Resources for next time|A next-like shape sits above a valuable shell. Save funds and materials for the next project.
飼|🍚 🐕|Feed the animal|Food stands beside a caretaker-like shape. Raise an animal by feeding it every day.
声|📣 🪵|Voice from the stand|A small stand tops a hollow, roof-like shape. Imagine it amplifying your voice like a speaker.
路|🦶 🪧|Each foot follows a path|A foot stands beside an each-like marker. Every footstep carries you farther along the path.
力|💪|Flexed arm|A bent stroke hooks down beside a long slant. Picture an arm flexing its strength.
区|🗺️ ❌|Marked district|An open boundary surrounds an X. That mark identifies your district on the map.
工|🏗️|Engineer's beam|A vertical support joins two level beams. An engineer builds the simplest sturdy frame.
夕|🌙|Evening crescent|A curved outer stroke cups a tiny mark. Imagine the first crescent appearing in the evening.
文|✍️ ✂️|Crossed writing strokes|A little cap sits above two crossing strokes. Picture a sentence beginning with one handwritten mark.
表|🌱 👕|Show the outside|A growing top rises over a clothing-like hem. Imagine displaying the outside surface of a new outfit.
元|➖ 🦵|Back to the starting line|Two lines rest above two legs. Return those legs to their original starting line.
米|🍚|Rice scattered outward|Small grains spread from a central crossing. Picture rice spilling in every direction.
光|✨ 🦵|Light on little legs|Three rays shine above two spreading legs. Imagine a little lamp running around spreading light.
風|🌬️ 🌀|Wind trapped inside|A sweeping outer frame holds a small twisting shape. Imagine wind swirling inside a funnel.
# Lesson 27
州|🌊 🏝️|Land between streams|Three flowing lines surround little patches. Imagine islands between rivers forming one province.
石|⛰️ 🪨|Stone below the ledge|A cliff-like overhang shelters a small box-shaped stone. Pick that stone up from below.
竹|🎋 🎋|Twin bamboo stalks|Two matching stalks grow upright with short leaves. Picture a pair of bamboo stems.
机|🌳 🪑|Wooden desk legs|A tree stands beside two bent supports. Cut the wood and rest it on those desk legs.
材|🌳 ✨|Wood for a clever project|A tree stands beside a clever little shape. A genius turns raw wood into useful material.
村|🌳 📏|Measured grove|A tree stands beside a small measuring hand. Mark out little homes around it to form a village.
林|🌳 🌳|Two trees make woods|Two trees stand side by side. Walk between them into the woods.
森|🌳 🌲|Trees upon trees|One tree rises above two more. Trees crowd every layer of this forest.
機|🌳 ⚙️|Wooden machine|A tree stands beside a dense tangle of moving parts. Imagine a complicated wooden machine.
係|🧍 🧵|Person holds the thread|A person stands beside a hanging thread. Whoever holds all the threads is in charge.
化|🧍 🔄|Person changes direction|One upright person stands beside a turned, curled figure. Imagine them transforming into a different pose.
仕|🧍 🛡️|Person at service|A person stands beside a firm, upright marker. Picture someone ready to serve at their post.
付|🧍 📎|Attach the note|A person stands beside a small hand-like hook. Attach a note to their sleeve.
代|🧍 🔁|Substitute at the post|A person stands beside a slanted marker. They take another person's place for the day.
位|🧍 🧍|Place in line|A person stands beside a standing shape. Where they stand in the line shows their rank.
保|🧍 🌳|Person protects the tree|A person stands beside a box perched on a tree. Keep that little tree-house safe.
# Lesson 28
他|🧍 👉|The other person|A person stands beside a winding, different-looking shape. Point away from yourself to the other person.
側|🧍 📏|Person at the edge|A person stands beside a divided shell-and-blade shape. Imagine them standing at the side of a marked boundary.
健|🧍 🏗️|Build a healthy person|A person stands beside a building shape. Good habits build a healthy body.
打|✋ 🔨|Hand hits the nail|A hand stands beside a nail-like stroke. Picture hammering it with one firm hit.
必|❤️ ⚡|Must follow through|A heart-like shape is crossed by a decisive slash. Once committed, you must follow through.
感|👄 ❤️|Heart feels the words|A mouth tucked under crossing strokes sits above a heart. Imagine words touching how you feel.
想|🌳 👁️|Tree in your thoughts|A tree and an eye sit above a heart. What you see stays in your thoughts.
怖|❤️ 🧣|Fear behind the curtain|A heart-like side stands beside cloth. Something moves behind the curtain and you feel afraid.
写|📷 📄|Copy beneath the cover|A little cover shelters a bent writing shape. Imagine tracing a picture to make a copy.
真|🔎 📦|Inspect for truth|A cross sits over a carefully filled box on supports. Open it and inspect the truth inside.
戸|🚪|Single hanging door|A top beam supports a panel that opens at the side. Push through this single door.
丸|⚾ ✨|Round ball's bounce|A curved hook gains one little dot. Imagine a round ball bouncing off the curved edge.
加|💪 👄|Add another voice|Strength stands beside a mouth. Add your voice and make the group's effort stronger.
失|✋ 💨|Something slips away|An extra stroke tips above a big, open shape. Imagine a hand dropping something it has lost.
敗|🐚 🔨|Broken treasure|A shell-shaped treasure stands beside a striking hand. One careless blow turns success into failure.
同|📦 📦|Matching contents|An outer frame holds a line and a smaller box. Imagine every package containing the same thing.
# Lesson 29
問|🚪 👄|Question at the gate|A mouth appears inside a gate. Ask who is there before you open it.
題|☀️ 👤|Topic on your mind|A sunny upright shape stands beside a head. Imagine the day's topic filling your head.
式|🏗️ 🎀|Formal ribbon|An I-shaped stand sits under a sweeping ribbon-like stroke. Decorate it for a formal ceremony.
局|🏠 📮|Small office window|A low roof curls around a small mouth-shaped window. Post your request at the bureau's window.
面|🎭|Face in a frame|A broad frame encloses a neatly divided face. Imagine looking straight at a flat mask.
参|🧍 👣|Three-step visit|A small upper shape sits above a person and three slanting strokes. Take three steps forward to visit.
旅|🚩 🧳|Travel beneath a flag|A flag stands beside a person-like bundle. Follow the tour flag with your luggage.
形|✂️ 〰️|Shape and shadow|A framework stands beside three flowing strokes. Imagine its outline leaving a three-line shadow.
込|🚶 📥|Crowd goes in|An entering shape rides along a road. More people go in until the place is crowded.
辺|🔪 🛣️|Blade beside the path|A blade stands beside a road. Imagine a sign marking the edge of this vicinity.
選|🛣️ 🎁|Choose along the road|Two curled shapes sit above a shared stand on a road. Choose which package to take along.
達|🛣️ 🐑|Reach the flock|A sheep-like sign travels along a road. Keep going until you reach the flock and accomplish your trip.
違|🛣️ ↪️|Different route|A complex sign sits beside a road. Follow its unusual turns and end up on a different route.
美|🐑 🙌|Beautiful big sheep|A sheep-like top sits above big. Picture an enormous sheep with a beautifully brushed fleece.
私|🌾 🤲|My little harvest|Grain stands beside a small curled shape. Cup some grain in your hand and say, “Mine.”
科|🌾 🥄|Sort the grain|A grain stalk stands beside a measuring scoop. Sort each kind into its own section.
# Lesson 30
橋|🌳 🌉|Wooden high crossing|A tree stands beside a tall, layered arch. Use the wood to build a bridge across it.
渡|💧 🚶|Cross the measured water|Water stands beside a measured, shelter-like shape. Find the safe crossing and hand your bag over first.
湯|💧 ☀️|Sun-heated water|Water stands beside a sun with long rays. Imagine those rays heating water for a bath.
流|💧 🌊|Water finds channels|Water stands beside a little top and spreading lower channels. Watch the current flow through them.
治|💧 🩹|Water helps heal|Water stands beside a small platform. Rest there and wash the wound so it can heal.
決|💧 🔀|Choose the water's route|Water stands beside a bold, branching shape. Decide which channel the water should follow.
活|💧 👅|Water wakes the tongue|Water sits beside a tongue. A sip brings it back to life and makes it active.
法|💧 🚶|Method for removing water|Water stands beside a leaving shape. Find a method that makes the unwanted water go away.
注|💧 🕯️|Pour beside the candle|Water stands beside the master's candle. Pour carefully so you do not put out the flame.
洋|💧 🐑|Ocean of woolly waves|Water stands beside a sheep. Imagine ocean waves looking like a vast flock of white sheep.
池|💧 🌀|Water in a small hollow|Water gathers beside a curling shape. Imagine a small hollow filling to become a pond.
波|💧 🪁|Water's moving skin|Water stands beside a skin-like shape. The surface wrinkles and rises into a wave.
落|🌿 💧|Leaves fall to water|Leaves sit over water and a step-like shape. Watch them drop into the stream below.
深|💧 🌳|Tree in deep water|Water stands beside a tree under a cover. Imagine the tree's roots reaching deep below the surface.
温|💧 ☀️|Warm bowl of water|Water stands beside a sun over a dish. Sunshine warms the water in the bowl.
暖|☀️ 🤲|Hands warmed by sunlight|A sun stands beside a reaching hand-like shape. Stretch your hands into its warmth.
# Lesson 31
次|🧊 😮|Next breath|Two icy marks sit beside an open-mouthed figure. Take your next breath in the chilly air.
昔|🌿 ☀️|Sun on an old garden|Crossing plants sit above a sun. Imagine the garden as it looked in old times.
守|🏠 ✋|Hand guards the house|A small hand-like shape waits beneath a roof. It guards everything inside.
定|🏠 📍|Set beneath the roof|A roof covers a firmly planted lower shape. Set it there so it cannot wander away.
官|🏠 🗄️|Office under the roof|A roof shelters two stacked compartments. Imagine a bureaucrat filing forms in that little office.
答|🎋 📦|Answer fits together|Bamboo sits above a lid fitting its box. The right answer makes every piece fit.
給|🧵 🤝|Supply the thread|Thread stands beside a fitting, joined shape. Supply enough thread to join the pieces together.
紙|🧵 📄|Thread-thin paper|A thread sits beside a flattened, folded shape. Imagine weaving threads into a sheet of paper.
組|🧵 🧱|Threads form a group|Thread stands beside a stack of blocks. Tie the blocks together into one group.
続|🧵 🏪|Thread keeps selling|Thread stands beside a seller's stall. The spool keeps unwinding as sales continue.
線|🧵 💧|Thread from a spring|Thread stands beside a spring. Imagine water stretching out from the spring in one thin line.
島|🐦 ⛰️|Bird above the island|A bird-like top rests over a mountain. The bird lands on an island rising from the sea.
農|🌾 👕|Field worker's clothes|A field-like top covers a long, folded lower shape. Imagine muddy work clothes after a day of farming.
験|🐎 🧪|Horse's test|A horse faces a crowded checking station. Test its speed before the race.
商|🏪 📦|Goods beneath a roof|A peaked top covers an enclosure with goods inside. Open the shop and begin business.
器|📦 📦|Containers all around|Four boxes surround a big center. Imagine an entire set of containers arranged around a table.
# Lesson 32
具|🧰 🦵|Tool on a stand|A filled box rests on two supports. Set your tool kit on the stand before working.
賞|🏛️ 🐚|Prize on display|A roofed display sits above a shell-shaped treasure. The winner receives that prize.
費|🪢 🐚|Costly knot|A tangled crossing sits above a valuable shell. Untangling the problem will cost your savings.
質|🪓 💎|Test the quality|Two axe-like tools sit above a treasure. Imagine carefully testing the material's quality before buying it.
原|⛰️ 💧|Spring at the source|A cliff-like shelter covers a white shape and little drops. Find where the water originally emerges.
反|✋ ↩️|Hand turns back|A hand reaches under a sloping ledge and turns back. Imagine pushing against the proposed direction.
席|🏠 🪑|Seat under the canopy|A shelter covers crossed supports and a hanging cloth. Pull up that seat and sit down.
協|➕ 💪|Strengths cooperate|A cross joins three strength-shaped arms. Combine everyone's strength and cooperate.
労|✨ 💪|Hard-working muscles|Sparks and a cover sit above strength. Imagine muscles working until sweat sparkles overhead.
単|✨ 📋|Single simple form|Little marks sit above one divided box and a cross. Fill out just one simple form.
苦|🌿 📜|Old bitter herbs|Leaves grow above old. Imagine chewing herbs that have grown old and bitter.
英|🌿 🇬🇧|English garden sign|Leaves sit above a centered shape. Picture a garden where every plant label is written in English.
数|🍚 ✋|Count every grain|Rice and a compact figure sit beside a counting hand. Count the grains to find the number.
番|🌾 🔢|Numbered field|Scattered grain sits over a field. Give each plot a number in the planting order.
期|🗓️ 🌙|Marked moon period|A tidy grid stands beside the moon. Mark how long one moon-cycle period lasts.
関|🚪 🚧|Barrier in the gate|A joined, branching shape blocks a gate. Move the barrier before going through.
# Lesson 33
別|👄 🔪|Split the message|A mouth and bent shape stand beside a blade. Imagine cutting one message into separate parts.
利|🌾 🔪|Harvesting advantage|Grain stands beside a blade. A sharp harvesting tool gives you an advantage.
良|🍚 ✨|Good bowlful|A little dot tops a neatly folded shape. Imagine a well-filled bowl and declare it good.
館|🍚 🏛️|Large building with meals|Food stands beside an official building. Imagine a large hall where visitors can eat and stay.
飯|🍚 ↩️|Return for a meal|Food stands beside a turning-back shape. The smell makes you turn back for a meal.
観|🐦 👁️|Watch the bird|A bird-like arrangement stands beside an eye on legs. Stop walking and enjoy the view.
震|🌧️ 🫨|Storm shakes the ground|A raincloud hangs above a folded, trembling shape. Imagine thunder strong enough to make the earth quake.
録|🪙 💧|Record the coins|Metal stands beside a flowing shape. Record every coin that flows into your account.
銀|🪙 🌙|Silver moon coin|Metal stands beside a folded, shining shape. Imagine a silver coin reflecting moonlight.
昨|☀️ 🗓️|Yesterday's sunshine|A sun stands beside a ladder of small ledges. Picture yesterday's sunlight still resting on those steps.
映|☀️ 🪞|Sun reflected at center|A sun stands beside a centered shape. Its light reflects in the middle of a mirror.
曜|☀️ 🪽|Wings mark the day|A sun stands beside feather-like strokes over a bird. Imagine a different bird announcing each day.
談|🗣️ 🔥|Fireside discussion|Words sit beside two fires. People warm themselves and discuss the day's events.
戦|📋 ⚔️|Battle plan|A compact, divided shape stands beside a weapon. Imagine a war plan being carried into battle.
競|🧍 🧍|Two competitors|Two matching figures stand side by side with tall tops. Each tries to outdo the other in a contest.
争|🤲 🏆|Dispute over a prize|A hooked top presses over crowded, grabbing strokes. Imagine several hands disputing who gets the prize.
# Lesson 34
糸|🧵|Twisted hanging thread|A small knot twists above three loose ends. Follow the strands of thread downward.
級|🧵 🪜|Thread marks the grade|Thread stands beside a reaching shape. Tie a colored thread at each new grade you reach.
練|🧵 🧶|Practice with the thread|Thread stands beside a tightly arranged bundle. Practice winding it neatly, again and again.
孫|👶 🧵|Family thread continues|A child stands beside a hanging thread. Follow the family thread to the next generation: a grandchild.
去|🟫 💨|Gone from this spot|A ground marker sits above a small curled trace. Someone stood here, but now they are gone.
未|🌳 ⏳|Not yet fully grown|A tree's upper branch is shorter than the one below. It has not yet finished growing.
民|🏘️ 🧍|Citizen's neighborhood|A roof-like top connects to a long curling base. Picture a citizen walking through their neighborhood.
虫|🐛|Insect with a tail|A boxed body has a central spine and a tiny curled tail. Watch the insect wriggle.
象|🐘|Elephant's long trunk|A broad head tops a heavy body with sweeping lower strokes. Imagine a long trunk curling away.
皿|🍽️|Dish on the table|A shallow frame with short dividers sits on a broad base. Set food on the dish.
血|🩸 🍽️|Drop above the dish|One small stroke falls into a dish. Imagine a single red drop of blood.
王|👑|King's three levels|One upright line joins three horizontal levels. Picture a king connecting heaven, people, and earth in a story.
玉|👑 💎|King's jewel|A king-shaped figure gains one little dot. That extra dot is a precious jewel.
氷|💧 ❄️|Water freezes|Water gains a little icy dot. Imagine the splash freezing into ice around that crystal.
求|💧 🙏|Ask for water|A central line sends drops and arms outward. Imagine reaching out to request a drink.
救|🙏 ✋|Answer the call|A request-shaped figure stands beside a helping hand. The hand answers and comes to the rescue.
# Lesson 35
悲|💔 🚧|Heart behind bars|Two opposing rows stand above a heart. Imagine sadness when the heart cannot reach either side.
愛|🤲 ❤️|Care carries love|Hands and a cover shelter a heart above moving feet. Love means caring, then showing up.
念|⏱️ ❤️|Wish in the present|Now sits above a heart. Hold your wish in your heart right now.
息|👃 ❤️|Breath and heartbeat|Self sits above a heart. Pay attention to your own heartbeat and take a slow breath.
娘|👩 ✨|Daughter's good news|A woman stands beside good. Imagine a daughter returning home with wonderful news.
性|❤️ 🌱|Heart and life|A heart-like side stands beside life. Picture the qualities that make up someone's nature and identity.
泣|💧 🧍|Tears while standing|Water stands beside standing. Imagine standing still while tears run down your face.
満|💧 🧺|Filled baskets|Water stands beside a tightly packed arrangement under a leafy top. Fill every compartment until it is full.
清|💧 🔵|Clear blue water|Water stands beside blue. Imagine water so clear you can see the blue stones below.
湖|💧 🕰️|Old moonlit lake|Water stands beside old and moon. Imagine an ancient lake shining in moonlight.
漁|💧 🐟|Fish in the water|Water stands beside a fish. Cast your line beside it and go fishing.
浅|💧 📏|Shallow crossing|Water stands beside crossing strokes. Imagine the water barely covering the lowest crossing: it is shallow.
